任务词ID,任务词
0881090cf12d2af90242e687,"新贵羡慕老钱 诗句"
2ce08a2fed630b1c59eeb50b,岑溪市中考成绩排名表2022
00c9310cf12d2af90242e63f,"Smoking 衛生問題專業閱讀理解"
5cbad709f78a6529647d5346,2022年南陵县南中高考喜报
24445f02bed5b9f3f90f1c65,无为一中老师简介2021
fbd0e791daef5ef7ba0d3c20,学而思2022暑假班考试卷九年级数学
11a0d91b227916888486d779,"""金三角""是指泰国,缅甸,( )三国交界的地方(一个区域)."
2deb5602bed5b9f3f90f1cf6,中央对日本学校处理
ad23e22db4daa58da0114a07,"延庆 中考 应考"
273efb20aaea998fcc220ee1,九年级下语文电子课本
7cc0160f4a7302768e99393c,"已知三角形abc为等边三角形,de垂直ab于点e,df垂直ac于点f,df=de=1"
fbb0f2f5ba0d4a7302763a64,"课程同步达标与技能拓展. 科学. 三年级"
261c62c589eb172ded63b73c,"乌克兰问题的演变有着复杂的历史经纬,局势走到今天这一步是各种因素综合作用的结"
3566963767ec102de2bd8938,五年级数学上册c版学习与评价答案
34b8a9a3b0717fd5360cdc4c,体育体能课堂设计案例分享
2798ee303968011ca30091a9,"look for 和find区别"
82b1c47d5acfa1c7ab00cc07,中国传统工匠精神与工匠文化的内涵不包括
7dbf8369af1ffc4ffe47ac8f,2012年高考英语总复习模拟试题(八)
b0c2e7d180eb6294dd886cd6,山东职教高考数学第三册电子课本
eff72f8dcc22bcd126ff0c1a,"""双减""背景下小学体育作业形式多样化实施策略"
d2a818fa941ea76e58fa0456,学党史读后感3000
8536de0003d8ce2f006623c4,5年级语文上册，4个大组长听写12个词，4个100分
103c11c10c22590102029d3a,杭州小学六年级上数学期末
88bba37b1711cc7931b716aa,小学语文书一年级上册电子版
b3de1402a6c30c2259019ec0,隐形学习概念
b96f4a40336c1eb91a375d1a,五年级上册英才教程语文电子版
7daa3c848762caaedd33d420,北海市2021年秋季学期期末九年级历史
5247ba748e9951e79b892733,福建省龙岩市期中考试卷
6017f0d5c1c708a1284a4471,阳光计划九年级下册化学答案
d5cf963d5727a5e9856a6183,八月十五诗词100首
7d1c3c848762caaedd33d492,四年级科学教研活动
d1bffc33b90d6c85ec3ac6b4,乐读悟读“越”读——初中文言文教学模式初探
52c0ba748e9951e79b8927b0,六年级语文复习思维导
946ce9e59b89680203d825f2,"绩优学案中国历史七年级上册人教版 答案"
0cdac61b227916888486d703,信息技术深度融合下的高中物理核心素养教学研究
b3d278c508a1284ac850430d,初中英语教学中词块及积累巩固方法分析
1f464c315a8102d276a22f27,3年级学练考答案上册语文
f0b838c558f5f61fb7366650,硫代硫酸钠与硫酸反应离子方程式
6489db96dd88d0d233d46a60,高中生对均值不等式的理解
00248a6e1eb91a37f1115c6c,初中英语阅读杂志推荐书目有哪些好的
6486db96dd88d0d233d46a75,语法教学中交际教学的语言观
3dbcb1a3284ac850ad02427b,小学二年级数学下册期末试卷人教版
14a7e9e0524de518964b7d85,染香现代文阅读理解染香为题的作用
93275c38580216fc700afdac,写长法在高中英语写作中的应用研究
9d9654610b1c59eef8c7b4bb,新课程改革中的思考——看初中音乐教师的角色定位
e782d0e8e009581b6bd9ebcd,用心呵护对雪的爱——《别踩疼了雪》赏析
c33cff91daef5ef7ba0d3cd4,解读新课标理念下的英语核心素养
2900e920aaea998fcc220edb,做一个学习的有心人
2bd7cf3031126edb6f1a10e4,i结尾的成语
8fe202f47c1cfad6195fa708,小学二年级安全教育教案下册
c4aed3de5022aaea998f0f25,eps名词解释
81c3e84fe518964bcf847c21,例谈小学英语前置性作业的设计策略
26d82b0cf12d2af90242e62c,图书馆里的小镜头阅读理解答案
25eb1002b52acfc789ebc92a,新时代智能教育引领教育减负——问卷星应用在中小学学生作业的心得体会
3c1c030f6c85ec3a87c2c535,杨丽娟老师基于大概念的单元整体学习设计思路学习收获
d771943d5727a5e9856a6145,中国复兴作文
0307896e1eb91a37f1115c4d,内轨化合物的磁矩
53901753f01dc281e53af049,反比例函数关于y轴对称
13541cc10c22590102029d52,扩展阅读写鸟趣答案
8b74ef250722192e4536f663,等高线地形图教学设计
8965f5c1d5bbfd0a795673a0,小学二年级数字算钱ppt模板免费
c50fdb737fd5360cba1adbb4,坏足评级
